Entropy;Arithmetic;Golomb-Rice;Huffman;Run-length;Run-length + Golomb-Rice;Run-length + Huffman;Arithmetic;Golomb-Rice;Huffman;Run-length;Run-length + Golomb-Rice;Run-length + Huffman;Arithmetic;Golomb-Rice;Huffman;Run-length;Run-length + Golomb-Rice;Run-length + Huffman;
4.37195;4.66096;4.67473;4.60653;10.5244;5.1058;4.91791;1.0661;1.06925;1.05365;2.40725;1.16785;1.12488;0.289007;0.302773;0.234576;6.15241;0.733849;0.545951;
4.21704;4.49376;4.52282;4.44516;10.188;4.92784;4.73002;1.06562;1.07251;1.05409;2.41592;1.16855;1.12164;0.276721;0.305775;0.22812;5.971;0.710795;0.512978;
4.06083;4.32692;4.36659;4.28189;9.8405;4.7476;4.54279;1.06552;1.07529;1.05444;2.42327;1.16912;1.11868;0.266083;0.305753;0.221058;5.77967;0.686763;0.481957;
3.90395;4.16006;4.20611;4.11762;9.46564;4.56745;4.35647;1.0656;1.0774;1.05473;2.42463;1.16996;1.11591;0.256109;0.302165;0.213672;5.56169;0.663499;0.452525;
3.7463;3.99282;4.04307;3.95376;9.1255;4.38827;4.17183;1.0658;1.07922;1.05538;2.43587;1.17136;1.11359;0.246524;0.296767;0.207461;5.3792;0.641964;0.425528;
3.5873;3.82522;3.8812;3.79205;8.74521;4.211;3.98789;1.06632;1.08193;1.05707;2.43782;1.17386;1.11167;0.237918;0.2939;0.204744;5.15791;0.6237;0.400589;
3.42811;3.65792;3.72502;3.63504;8.3448;4.03451;3.80565;1.06704;1.08661;1.06037;2.43423;1.17689;1.11013;0.229816;0.296917;0.206938;4.9167;0.606407;0.377538;
3.2685;3.49111;3.57488;3.48326;7.97702;3.85471;3.62387;1.06811;1.09374;1.06571;2.44057;1.17935;1.10872;0.222609;0.306378;0.214761;4.70851;0.586206;0.355364;
3.10871;3.32435;3.43096;3.33824;7.57466;3.66815;3.44247;1.06937;1.10366;1.07384;2.4366;1.17996;1.10736;0.215641;0.322255;0.229538;4.46595;0.559447;0.333764;
2.94748;3.15707;3.29292;3.1995;7.16501;3.47346;3.25807;1.07111;1.1172;1.08551;2.4309;1.17845;1.10538;0.209596;0.345444;0.252024;4.21754;0.525989;0.310597;
2.78824;2.99239;3.16319;3.06853;6.72006;3.27764;3.07496;1.07322;1.13448;1.10053;2.41015;1.17552;1.10283;0.204148;0.374951;0.280293;3.93183;0.4894;0.286724;
2.63251;2.83138;3.04059;2.94495;6.30989;3.08441;2.89629;1.07554;1.15502;1.11869;2.39691;1.17166;1.1002;0.198868;0.40808;0.312443;3.67738;0.451903;0.263779;
2.48019;2.67423;2.92467;2.82878;5.92794;2.89267;2.72062;1.07823;1.17921;1.14055;2.39011;1.16631;1.09694;0.194032;0.444479;0.348591;3.44774;0.412481;0.240425;
2.33191;2.5215;2.8163;2.71986;5.52662;2.70599;2.54973;1.0813;1.20772;1.16636;2.36999;1.16042;1.09341;0.189589;0.484386;0.387947;3.19471;0.374076;0.217819;
2.18799;2.37339;2.71382;2.61702;5.15037;2.52404;2.38341;1.08474;1.24032;1.19608;2.35393;1.15359;1.08932;0.185401;0.525827;0.42903;2.96238;0.336047;0.195425;
2.04951;2.2311;2.61744;2.52038;4.80965;2.34943;2.22379;1.0886;1.2771;1.22974;2.34673;1.14634;1.08503;0.181589;0.567926;0.470865;2.76014;0.299919;0.17428;
