Entropy;Arithmetic;Golomb-Rice;Huffman;Run-length;Run-length + Golomb-Rice;Run-length + Huffman;Arithmetic;Golomb-Rice;Huffman;Run-length;Run-length + Golomb-Rice;Run-length + Huffman;Arithmetic;Golomb-Rice;Huffman;Run-length;Run-length + Golomb-Rice;Run-length + Huffman;
4.37195;4.52233;4.55047;4.48228;10.5244;4.93901;4.7329;1.0344;1.04083;1.02523;2.40725;1.1297;1.08256;0.150379;0.178517;0.110321;6.15241;0.567051;0.360945;
4.21704;4.35514;4.39856;4.32091;10.188;4.76925;4.55012;1.03275;1.04304;1.02463;2.41592;1.13095;1.07898;0.138103;0.181519;0.103865;5.971;0.552214;0.333075;
4.06083;4.1882;4.24233;4.15764;9.8405;4.59849;4.36831;1.03136;1.04469;1.02384;2.42327;1.1324;1.07572;0.127361;0.181497;0.0968022;5.77967;0.537658;0.307478;
3.90395;4.02142;4.08186;3.99337;9.46564;4.42216;4.18779;1.03009;1.04557;1.0229;2.42463;1.13274;1.07271;0.117473;0.177908;0.0894163;5.56169;0.518213;0.283844;
3.7463;3.85412;3.91881;3.82951;9.1255;4.24687;4.00936;1.02878;1.04605;1.02221;2.43587;1.13362;1.07022;0.107817;0.172512;0.0832052;5.3792;0.500572;0.263057;
3.5873;3.68657;3.75695;3.66779;8.74521;4.07358;3.83203;1.02767;1.04729;1.02244;2.43782;1.13556;1.06822;0.099263;0.169644;0.0804884;5.15791;0.48628;0.244723;
3.42811;3.51926;3.60077;3.51079;8.3448;3.90637;3.65673;1.02659;1.05037;1.02412;2.43423;1.13951;1.06669;0.0911512;0.172661;0.0826819;4.9167;0.478259;0.228621;
3.2685;3.35246;3.45063;3.35901;7.97702;3.73507;3.48221;1.02569;1.05572;1.02769;2.44057;1.14275;1.06538;0.0839529;0.182122;0.0905046;4.70851;0.46657;0.213705;
3.10871;3.18574;3.3067;3.21399;7.57466;3.55906;3.30832;1.02478;1.06369;1.03387;2.4366;1.14487;1.06421;0.077033;0.197999;0.105282;4.46595;0.45035;0.19961;
2.94748;3.01846;3.16866;3.07524;7.16501;3.37188;3.13175;1.02408;1.07504;1.04335;2.4309;1.14399;1.06252;0.0709853;0.221188;0.127769;4.21754;0.424406;0.184273;
2.78824;2.8538;3.03893;2.94428;6.72006;3.18656;2.95637;1.02351;1.08991;1.05596;2.41015;1.14286;1.0603;0.0655622;0.250695;0.156038;3.93183;0.398324;0.168135;
2.63251;2.6928;2.91633;2.82069;6.30989;3.00099;2.78527;1.0229;1.10782;1.07149;2.39691;1.13997;1.05803;0.0602973;0.283824;0.188187;3.67738;0.368484;0.15276;
2.48019;2.53568;2.80042;2.70453;5.92794;2.81651;2.61704;1.02237;1.12911;1.09045;2.39011;1.1356;1.05518;0.055491;0.320223;0.224335;3.44774;0.336318;0.136846;
2.33191;2.38299;2.69204;2.5956;5.52662;2.63684;2.45322;1.0219;1.15444;1.11308;2.36999;1.13076;1.05202;0.0510786;0.360131;0.263691;3.19471;0.304929;0.121306;
2.18799;2.23497;2.58956;2.49276;5.15037;2.46179;2.2937;1.02147;1.18353;1.13929;2.35393;1.12514;1.04831;0.0469837;0.401571;0.304775;2.96238;0.273803;0.10571;
2.04951;2.09277;2.49318;2.39612;4.80965;2.29371;2.14044;1.0211;1.21648;1.16912;2.34673;1.11915;1.04437;0.0432544;0.44367;0.346609;2.76014;0.244192;0.0909309;
1.91663;1.95635;2.40183;2.30481;4.49798;2.13285;1.99353;1.02072;1.25315;1.20253;2.34681;1.11281;1.04012;0.0397178;0.485198;0.388178;2.58135;0.216219;0.0768938;
1.79205;1.82858;2.31595;2.21883;4.17263;1.9848;1.85617;1.02039;1.29235;1.23815;2.32842;1.10756;1.03578;0.0365366;0.523904;0.426779;2.38059;0.19275;0.0641248;
1.67554;1.70924;2.23505;2.13817;3.88436;1.84864;1.72814;1.02011;1.33393;1.2761;2.31827;1.10331;1.03139;0.0336925;0.559508;0.462623;2.20882;0.173102;0.0525945;
1.56849;1.59952;2.15954;2.06261;3.63058;1.72433;1.61104;1.01978;1.37683;1.31503;2.3147;1.09936;1.02713;0.0310308;0.591052;0.494127;2.06209;0.155841;0.0425578;
1.46999;1.49858;2.08889;1.99005;3.39698;1.61123;1.50316;1.01945;1.42102;1.35379;2.31089;1.09608;1.02257;0.0285929;0.618899;0.520061;1.927;0.141243;0.0331767;
1.3795;1.40589;2.02233;1.92118;3.1923;1.51057;1.40398;1.01913;1.46599;1.39267;2.3141;1.09502;1.01775;0.0263872;0.642834;0.541682;1.8128;0.131074;0.0244801;
1.29568;1.31997;1.95899;1.85594;3.00351;1.41767;1.31205;1.01875;1.51195;1.43241;2.3181;1.09416;1.01263;0.0242981;0.663316;0.560263;1.70783;0.121996;0.0163696;
1.2172;1.23961;1.8984;1.79404;2.81863;1.33102;1.22627;1.01841;1.55965;1.47391;2.31567;1.09351;1.00745;0.0224125;0.681205;0.576847;1.60143;0.113824;0.00907362;
1.1429;1.16359;1.84052;1.73522;2.64587;1.24746;1.14554;1.0181;1.61039;1.51826;2.31505;1.09149;1.00231;0.0206919;0.697617;0.59232;1.50297;0.104559;0.00263846;
1.07228;1.0914;1.78522;1.67869;2.46864;1.16936;1.06939;1.01782;1.66488;1.56553;2.30223;1.09053;0.997297;0.0191122;0.71294;0.606406;1.39636;0.0970743;-0.00289798;
1.00489;1.02255;1.73246;1.62587;2.29886;1.09619;0.997028;1.01758;1.72404;1.61797;2.28768;1.09086;0.992179;0.0176667;0.727575;0.620986;1.29397;0.0913033;-0.00785941;
0.940343;0.956718;1.68215;1.57605;2.13069;1.02557;0.928225;1.01741;1.78886;1.67604;2.26587;1.09064;0.987113;0.0163748;0.741803;0.635706;1.19035;0.085229;-0.0121183;
0.878761;0.893957;1.63397;1.52917;1.98347;0.95899;0.86299;1.01729;1.8594;1.74015;2.25712;1.0913;0.982053;0.015196;0.75521;0.650412;1.10471;0.080229;-0.0157715;
0.819996;0.834066;1.58789;1.48485;1.84475;0.894771;0.801046;1.01716;1.93646;1.81081;2.2497;1.09119;0.976891;0.0140699;0.767892;0.664858;1.02475;0.0747752;-0.0189496;
0.76403;0.7771;1.54404;1.44207;1.71191;0.833538;0.742631;1.01711;2.02091;1.88746;2.24063;1.09097;0.971991;0.0130701;0.780006;0.678044;0.94788;0.0695075;-0.0213995;
0.710674;0.722838;1.50247;1.40208;1.58636;0.776214;0.687754;1.01712;2.11415;1.97289;2.23219;1.09222;0.967748;0.0121635;0.7918;0.691407;0.875683;0.0655397;-0.0229204;
0.659899;0.671263;1.46323;1.3654;1.46686;0.722572;0.636038;1.01722;2.21736;2.06911;2.22285;1.09497;0.963842;0.0113644;0.803334;0.705506;0.806957;0.0626739;-0.0238608;
0.611755;0.622328;1.42615;1.3302;1.34422;0.673121;0.587379;1.01728;2.33125;2.17439;2.19733;1.10031;0.960154;0.0105736;0.814395;0.718441;0.73247;0.0613663;-0.024376;
0.56605;0.575891;1.39109;1.28995;1.23275;0.624935;0.542036;1.01738;2.45754;2.27887;2.17782;1.10403;0.957577;0.00984049;0.825041;0.723903;0.666703;0.0588845;-0.0240136;
